Open,Close,Year,Month,Date
16.66,17.049999,1950,01,01/01/1950
17.049999,17.219998999999998,1950,02,02/01/1950
17.24,17.290001,1950,03,03/01/1950
17.34,18.07,1950,04,04/01/1950
18.219998999999998,18.780001000000002,1950,05,05/01/1950
18.77,17.690001000000002,1950,06,06/01/1950
17.639999,17.84,1950,07,07/01/1950
18.02,18.42,1950,08,08/01/1950
18.549999,19.450001,1950,09,09/01/1950
19.690001000000002,19.530001000000002,1950,10,10/01/1950
19.559998999999998,19.51,1950,11,11/01/1950
19.66,20.41,1950,12,12/01/1950
20.77,21.66,1951,01,01/01/1951
21.77,21.799999,1951,02,02/01/1951
21.85,21.4,1951,03,03/01/1951
21.32,22.43,1951,04,04/01/1951
22.530001000000002,21.52,1951,05,05/01/1951
21.48,20.959999,1951,06,06/01/1951
21.1,22.4,1951,07,07/01/1951
22.51,23.280001000000002,1951,08,08/01/1951
23.280001000000002,23.26,1951,09,09/01/1951
23.469998999999998,22.940001000000002,1951,10,10/01/1951
23.1,22.879998999999998,1951,11,11/01/1951
22.940001000000002,23.77,1951,12,12/01/1951
23.799999,24.139999,1952,01,01/01/1952
24.299999,23.26,1952,02,02/01/1952
23.280001000000002,24.370001000000002,1952,03,03/01/1952
24.18,23.32,1952,04,04/01/1952
23.17,23.860001,1952,05,05/01/1952
23.799999,24.959999,1952,06,06/01/1952
25.120001000000002,25.4,1952,07,07/01/1952
25.450001,25.030001000000002,1952,08,08/01/1952
25.15,24.540001,1952,09,09/01/1952
24.48,24.52,1952,10,10/01/1952
24.6,25.66,1952,11,11/01/1952
25.68,26.57,1952,12,12/01/1952
26.540001,26.379998999999998,1953,01,01/01/1953
26.51,25.9,1953,02,02/01/1953
25.93,25.290001,1953,03,03/01/1953
25.25,24.620001000000002,1953,04,04/01/1953
24.73,24.540001,1953,05,05/01/1953
24.15,24.139999,1953,06,06/01/1953
24.24,24.75,1953,07,07/01/1953
24.84,23.32,1953,08,08/01/1953
23.42,23.35,1953,09,09/01/1953
23.49,24.540001,1953,10,10/01/1953
24.66,24.76,1953,11,11/01/1953
24.780001000000002,24.809998999999998,1953,12,12/01/1953
24.950001,26.08,1954,01,01/01/1954
25.99,26.15,1954,02,02/01/1954
26.25,26.940001000000002,1954,03,03/01/1954
27.17,28.26,1954,04,04/01/1954
28.209999,29.190001000000002,1954,05,05/01/1954
29.190001000000002,29.209999,1954,06,06/01/1954
29.209999,30.879998999999998,1954,07,07/01/1954
30.99,29.83,1954,08,08/01/1954
30.040001,32.310001,1954,09,09/01/1954
32.290001000000004,31.68,1954,10,10/01/1954
31.790001,34.240002000000004,1954,11,11/01/1954
33.990002000000004,35.98,1954,12,12/01/1954
36.75,36.630001,1955,01,01/01/1955
36.720001,36.759997999999996,1955,02,02/01/1955
36.830002,36.580002,1955,03,03/01/1955
36.950001,37.959998999999996,1955,04,04/01/1955
38.040001000000004,37.91,1955,05,05/01/1955
37.959998999999996,41.029999,1955,06,06/01/1955
41.189999,43.52,1955,07,07/01/1955
42.93,43.18,1955,08,08/01/1955
43.369999,43.669998,1955,09,09/01/1955
42.490002000000004,42.34,1955,10,10/01/1955
42.279999,45.509997999999996,1955,11,11/01/1955
45.349998,45.48,1955,12,12/01/1955
45.16,43.82,1956,01,01/01/1956
44.029999,45.34,1956,02,02/01/1956
45.540001000000004,48.48,1956,03,03/01/1956
48.700001,48.380001,1956,04,04/01/1956
48.16,45.200001,1956,05,05/01/1956
45.580002,46.970001,1956,06,06/01/1956
46.93,49.389998999999996,1956,07,07/01/1956
49.619999,47.509997999999996,1956,08,08/01/1956
47.889998999999996,45.349998,1956,09,09/01/1956
44.700001,45.580002,1956,10,10/01/1956
46.52,45.080002,1956,11,11/01/1956
45.98,46.669998,1956,12,12/01/1956
46.200001,44.720001,1957,01,01/01/1957
44.619999,43.259997999999996,1957,02,02/01/1957
